"V1" "V2" "V3"
"38" 1517.92216672664 1897.82030832232 2734.8275408507
"39" 1512.76398536549 1892.04744443454 2727.83358985626
"40" 1513.68360196231 1893.41091799132 2730.28597253851
"41" 1513.5538823773 1893.380642802 2729.88369944245
"42" 1519.0563682174 1898.93920204912 2734.81906856105
"43" 1520.90200406598 1900.12962892391 2734.53022448311
"44" 1519.01620316403 1897.65125870208 2731.35838009771
"45" 1518.17521650444 1896.67941852599 2730.65273848528
"46" 1523.48390875949 1901.91769258001 2735.87086988327
"47" 1529.51476657007 1907.14744610636 2739.56765347023
"48" 1521.740530843 1898.12067862586 2728.74145377612
"49" 1515.83807649816 1892.45471342105 2724.78657935324
"50" 1514.68735604149 1892.02903477865 2726.26136699688
"51" 1523.58184028485 1901.37897577477 2736.19088899392
"52" 1518.62039711077 1895.58149481082 2728.63037959834
"53" 1512.8947055902 1890.14035356775 2724.54066567108
"54" 1517.08595121054 1895.22247026516 2731.62861658316
"55" 1516.67584041929 1894.72501542972 2730.06911646347
"56" 1519.4738161468 1897.61793780188 2732.6715990505
"57" 1518.31843558886 1896.22015883126 2730.89450712594
"58" 1518.8644542623 1896.795009709 2731.64118173869
"59" 1520.3309968766 1898.19640887602 2732.70403842869
"60" 1519.09658804892 1896.71358559384 2730.526772026
"61" 1517.91588140117 1895.54717649581 2729.53223116465
"62" 1519.4028641782 1897.16659008507 2731.60324046248
"63" 1518.96866707369 1896.59149754176 2730.73538214128
"64" 1518.74817319906 1896.35837492566 2730.53702028927
"65" 1511.13799964656 1888.76968192384 2723.10401925737
"66" 1516.54147025567 1895.16500671945 2731.51141674935
"67" 1516.57977804041 1895.05076679689 2730.56611589674
"68" 1515.66519195146 1894.13080040187 2729.40615411065
"69" 1514.11796968237 1892.77512295298 2728.50603248644
"70" 1520.86758491202 1899.83189343269 2735.96069812033
"71" 1520.62343364531 1898.89607270231 2733.14262846904
"72" 1517.80805746422 1895.76646264207 2729.49077341626
"73" 1518.44968584318 1896.56898579538 2730.99008338105
"74" 1508.25227790807 1886.29341112572 2720.53038736808
"75" 1508.90794683423 1888.21181196592 2724.92775189555
"76" 1512.45123517382 1892.37155541421 2729.86490462393
"77" 1503.57527812623 1883.47631751527 2720.4206133712
"78" 1504.2808154806 1885.50122796168 2724.94713807367
"79" 1511.33380758763 1893.2661111835 2733.2689065288
"80" 1514.57564178576 1896.09793314633 2734.03113709194
"81" 1520.31353361123 1901.35529704306 2737.90672593326
"82" 1529.55599831945 1909.61803766448 2744.31117541981
"83" 1526.71411955255 1904.96234425735 2736.26610397176
